LotFrontage,LotArea
65,8450
80,9600
68,11250
60,9550
84,14260
85,14115
75,10084
0,10382
51,6120
50,7420
70,11200
85,11924
0,12968
91,10652
0,10920
51,6120
0,11241
72,10791
66,13695
70,7560
101,14215
57,7449
75,9742
44,4224
0,8246
110,14230
60,7200
98,11478
47,16321
60,6324
50,8500
0,8544
85,11049
70,10552
60,7313
108,13418
112,10859
74,8532
68,7922
65,6040
84,8658
115,16905
0,9180
0,9200
70,7945
61,7658
48,12822
84,11096
33,4456
66,7742
0,13869
52,6240
110,8472
68,50271
60,7134
100,10175
24,2645
89,11645
66,13682
60,7200
63,13072
60,7200
44,6442
50,10300
0,9375
76,9591
0,19900
72,10665
47,4608
81,15593
95,13651
69,7599
74,10141
85,10200
60,5790
21,1596
0,8475
50,8635
72,10778
60,10440
100,13000
32,4500
78,10206
80,8892
0,8530
121,16059
122,11911
40,3951
105,8470
60,8070
60,7200
85,8500
80,13360
60,7200
69,9337
0,9765
78,10264
73,10921
85,10625
77,9320
0,10603
77,9206
64,7018
94,10402
0,7758
75,9375
60,10800
50,6000
85,8500
105,11751
75,9525
0,7750
77,9965
0,21000
61,7259
34,3230
0,11616
74,8536
90,12376
65,8461
0,21453
50,6060
75,9464
55,7892
48,17043
60,6780
0,4928
55,4388
69,7590
69,8973
88,14200
0,12224
75,7388
0,6853
78,10335
80,10400
0,10355
82,11070
73,9066
65,15426
70,10500
78,11645
71,8520
78,10335
70,9100
24,2522
51,6120
0,9505
63,7500
0,6240
120,10356
107,13891
0,14803
0,13500
84,11340
60,9600
60,7200
92,12003
100,12552
134,19378
0,11120
110,13688
95,12182
55,5500
40,5400
62,10106
0,10708
86,10562
62,8244
0,16669
0,12358
141,31770
44,5306
80,10197
47,12416
84,12615
97,10029
0,13650
63,17423
60,8520
0,2117
54,7588
60,9060
63,11426
92,7438
90,22950
0,9947
60,10410
64,7018
41,4923
70,10570
0,7472
68,9017
24,2522
60,7180
24,2280
79,9416
174,25419
92,5520
76,9591
80,8546
75,10125
50,7000
0,4438
50,3500
99,11851
40,13673
0,12493
0,14364
75,8250
67,5604
83,10420
72,8640
43,13568
0,10900
72,10011
65,8450
57,9906
0,15660
43,3010
73,8990
0,8068
85,11475
70,10500
103,13472
21,1680
82,9950
21,1869
70,8521
43,3182
73,8760
174,15138
21,1680
75,10650
21,1680
65,8773
0,9453
93,12030
52,8741
75,9000
